MASTER,HOMBRE,MUJER
MASTER UNIVERSITARIO EN INFORMACION Y COMUNICACION CIENTIFICA                             ,12,10
MASTER UNIVERSITARIO EN INGENIERIA ACUSTICA: CONTAMINACION ACUSTICA                       ,16,6
MASTER UNIVERSITARIO EN INGENIERIA DE COMPUTADORES Y REDES                                ,32,5
MASTER UNIVERSITARIO EN INGENIERIA GEOLOGICA APLICADA A LA OBRA CIVIL                     ,2,0
MASTER UNIVERSITARIO EN INGENIERIA TISULAR                                                ,9,11
MASTER UNIVERSITARIO EN INTERVENCION PSICOPEDAGOGICA                                      ,7,32
MASTER UNIVERSITARIO EN INVESTIGACION EN ACTIVIDAD FISICA Y DEPORTE                       ,36,20
MASTER UNIVERSITARIO EN INVESTIGACION ODONTOLOGICA                                        ,8,15
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,2,7
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN INMUNOLOGIA MOLECULAR Y CELULAR        ,12,21
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MEDICINA PREVENTIVA Y SALUD PUBLICA    ,9,25
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MICROBIOLOGIA                          ,19,35
"MASTER UNIVERSITARIO EN INVESTIGACIONES Y AVANCES EN PSICOLOGIA DE LA SALUD, EVALUACION Y TRATAMIENTO PSICOLOGICO",3,21
MASTER UNIVERSITARIO EN LA MONARQUIA CATOLICA. EL SIGLO DE ORO ESPAÑOL Y LA EUROPA BARROCA,24,9
MASTER UNIVERSITARIO EN LITERATURA Y LINGÜISTICA INGLESAS                                 ,14,35
MASTER UNIVERSITARIO EN MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR                         ,15,22
MASTER UNIVERSITARIO EN MATEMATICAS                                                       ,14,11
MASTER UNIVERSITARIO EN METODOS Y TECNICAS AVANZADAS EN FISICA                            ,20,6
MASTER UNIVERSITARIO EN NEUROCIENCIA COGNITIVA Y DEL COMPORTAMIENTO                       ,13,24
MASTER UNIVERSITARIO EN NEUROCIENCIA Y DOLOR                                              ,24,38
MASTER UNIVERSITARIO EN NUTRICION HUMANA                                                  ,26,42
MASTER UNIVERSITARIO EN OPTICA Y OPTOMETRIA AVANZADA                                      ,12,26
MASTER UNIVERSITARIO EN PATRIMONIO MUSICAL                                                ,16,14
MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES                                   ,12,16
MASTER UNIVERSITARIO EN PROBLEMAS SOCIALES. DIRECCION Y GESTION DE PROGRAMAS SOCIALES,19,27
"MASTER UNIVERSITARIO EN PROFESORADO DE EDUCACION SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACION PROFESIONAL Y ENSEÑANZA DE IDIOMAS",212,276
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA INTERVENCION SOCIAL                              ,4,27
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA SALUD                                            ,5,18
MASTER UNIVERSITARIO EN QUIMICA                                                           ,7,12
MASTER UNIVERSITARIO EN SEGURIDAD INTEGRAL EN EDIFICACION                                 ,57,26
MASTER UNIVERSITARIO EN SOFT COMPUTING Y SISTEMAS INTELIGENTES                            ,56,15
MASTER UNIVERSITARIO EN TECNOLOGIA Y CALIDAD DE LOS ALIMENTOS                             ,2,3
MASTER UNIVERSITARIO EN TECNOLOGIAS MULTIMEDIA                                            ,16,3
MASTER UNIVERSITARIO EN TRADUCCION E INTERPRETACION                                       ,33,50
MASTER UNIVERSITARIO ERASMUS MUNDUS EN COLOR IN INFORMATICS AND MEDIA TECHNOLOGY (CIMET),2,2
MASTER UNIVERSITARIO ERASMUS MUNDUS EN ESTUDIOS DE LAS MUJERES Y DE GENERO / MASTER'S DEGREEIN GENDER AND WOMEN'S STUDIES. GEMMA,1,43
MASTER UNIVERSITARIO ERASMUS MUNDUS EN EXCELENCIA EN SALUD PUBLICA / EUROPUBHEALTH        ,4,8
MASTER UNIVERSITARIO ERASMUS MUNDUS EN FORMACION DE PROFESIONALES DE LA FORMACION (MUNDUSFOR),7,11
