MASTER,HOMBRE,MUJER
MASTER UNIVERSITARIO EN EN DIDACTICA DE LA MATEMATICA   ,10,11
MASTER UNIVERSITARIO EN ESTADISTICA APLICADA                                              ,32,29
MASTER UNIVERSITARIO EN ESTRUCTURAS                                                       ,42,16
"MASTER UNIVERSITARIO EN ESTUDIOS E INTERVENCION SOCIAL EN INMIGRACION, DESARROLLO Y GRUPOS VULNERABLES",10,39
MASTER UNIVERSITARIO EN ESTUDIOS MIGRATORIOS. DESARROLLO E INTERVENCION SOCIAL            ,11,13
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE FILOLOGIA Y TRADICION CLASICAS             ,13,6
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA                            ,18,24
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA: INVESTIGACION Y APLICACIONES,0,2
MASTER UNIVERSITARIO EN FILOSOFIA CONTEMPORANEA                                           ,30,9
MASTER UNIVERSITARIO EN FISICA Y MATEMATICAS                                              ,26,12
MASTER UNIVERSITARIO EN GENETICA Y EVOLUCION                                              ,10,12
MASTER UNIVERSITARIO EN GEOFISICA Y METEOROLOGIA                                          ,19,17
MASTER UNIVERSITARIO EN GEOLOGIA                                                          ,15,18
MASTER UNIVERSITARIO EN GEOLOGIA APLICADA A LA OBRA CIVIL Y LOS RECURSOS HIDRICOS         ,34,20
"MASTER UNIVERSITARIO EN GERONTOLOGIA, DEPENDENCIA Y PROTECCION DE LOS MAYORES             ",7,29
MASTER UNIVERSITARIO EN GESTION Y EVALUACION DE LA CONTAMINACION ACUSTICA                 ,1,1
MASTER UNIVERSITARIO EN GESTION Y SEGURIDAD INTEGRAL EN LA EDIFICACION                    ,50,27
MASTER UNIVERSITARIO EN HIDRAULICA AMBIENTAL                                              ,12,13
MASTER UNIVERSITARIO EN HISTORIA DEL ARTE: CONOCIMIENTO Y TUTELA DEL PATRIMONIO HISTORICO,3,8
MASTER UNIVERSITARIO EN HISTORIA DEL ARTE. CONOCIMIENTO Y TUTELA DEL PATRIMONIO HISTORICO,28,43
"MASTER UNIVERSITARIO EN INFORMACION CIENTIFICA: TRATAMIENTO, ACCESO Y EVALUACION          ",3,1
MASTER UNIVERSITARIO EN INFORMACION Y COMUNICACION CIENTIFICA                             ,18,21
MASTER UNIVERSITARIO EN INGENIERIA ACUSTICA: CONTAMINACION ACUSTICA                       ,29,9
MASTER UNIVERSITARIO EN INGENIERIA DE COMPUTADORES Y REDES                                ,35,6
MASTER UNIVERSITARIO EN INGENIERIA GEOLOGICA APLICADA A LA OBRA CIVIL                     ,1,0
MASTER UNIVERSITARIO EN INGENIERIA TISULAR                                                ,15,11
MASTER UNIVERSITARIO EN INTERVENCION PSICOPEDAGOGICA                                      ,8,37
MASTER UNIVERSITARIO EN INVESTIGACION E INNOVACION EN CURRICULUM Y FORMACION                    ,13,28
MASTER UNIVERSITARIO EN INVESTIGACION EN ACTIVIDAD FISICA Y DEPORTE                       ,53,30
MASTER UNIVERSITARIO EN INVESTIGACION ODONTOLOGICA                                        ,21,23
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN INMUNOLOGIA MOLECULAR Y CELULAR        ,11,19
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MEDICINA PREVENTIVA Y SALUD PUBLICA    ,11,26
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MICROBIOLOGIA                          ,0,1
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MICROBIOLOGIA                          ,17,19
"MASTER UNIVERSITARIO EN INVESTIGACION, DESARROLLO, CONTROL E INNOVACION DE MEDICAMENTOS",4,9
"MASTER UNIVERSITARIO EN INVESTIGACIONES Y AVANCES EN PSICOLOGIA DE LA SALUD, EVALUACION Y TRATAMIENTO PSICOLOGICO",1,1
MASTER UNIVERSITARIO EN LA MONARQUIA CATOLICA. EL SIGLO DE ORO ESPAÑOL Y LA EUROPA BARROCA,23,10
MASTER UNIVERSITARIO EN LITERATURA Y LINGÜISTICA INGLESAS                                 ,8,40
MASTER UNIVERSITARIO EN MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR                         ,13,31
MASTER UNIVERSITARIO EN MATEMATICAS                                                       ,19,8
MASTER UNIVERSITARIO EN METODOS Y TECNICAS AVANZADAS EN FISICA                            ,17,7
MASTER UNIVERSITARIO EN NEUROCIENCIA COGNITIVA Y DEL COMPORTAMIENTO                       ,13,21
MASTER UNIVERSITARIO EN NEUROCIENCIA Y DOLOR                                              ,22,43
MASTER UNIVERSITARIO EN NUTRICION HUMANA                                                  ,20,40
MASTER UNIVERSITARIO EN OPTICA Y OPTOMETRIA AVANZADA                                      ,12,14
MASTER UNIVERSITARIO EN PATRIMONIO MUSICAL                                                ,11,26
MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES                                   ,24,24
MASTER UNIVERSITARIO EN PROBLEMAS SOCIALES. DIRECCION Y GESTION DE PROGRAMAS SOCIALES,15,35
MASTER UNIVERSITARIO EN PRODUCCION E INVESTIGACION EN ARTE     ,21,39
"MASTER UNIVERSITARIO EN PROFESORADO DE EDUCACION SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACION PROFESIONAL Y ENSEÑANZA DE IDIOMAS",243,304
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA INTERVENCION SOCIAL                              ,5,31
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA SALUD                                            ,7,41
MASTER UNIVERSITARIO EN QUIMICA                                                           ,8,6
MASTER UNIVERSITARIO EN SEGURIDAD INTEGRAL EN EDIFICACION                                 ,35,18
MASTER UNIVERSITARIO EN SOFT COMPUTING Y SISTEMAS INTELIGENTES                            ,47,13
MASTER UNIVERSITARIO EN TECNOLOGIAS MULTIMEDIA                                            ,19,2
MASTER UNIVERSITARIO EN TRADUCCION E INTERPRETACION                                       ,23,47
MASTER UNIVERSITARIO EN URBANISMO       ,24,10
MASTER UNIVERSITARIO ERASMUS MUNDUS EN ESTUDIOS DE LAS MUJERES Y DE GENERO / MASTER'S DEGREEIN GENDER AND WOMEN'S STUDIES. GEMMA,0,8
MASTER UNIVERSITARIO ERASMUS MUNDUS EN EXCELENCIA EN SALUD PUBLICA / EUROPUBHEALTH        ,2,3
MASTER UNIVERSITARIO ERASMUS MUNDUS EN FORMACION DE PROFESIONALES DE LA FORMACION (MUNDUSFOR),10,17
MASTER UNIVERSITARIO ESTUDIOS LATINOAMERICANOS: CULTURA Y GESTION     ,5,15
