"TITULACION","RAMA DE CONOCIMIENTO","CENTRO","CAMPUS"
"INFORMACION Y DOCUMENTACION","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE COMUNICACION Y DOCUMENTACION","CARTUJA"
"MARKETING E INVESTIGACION DE MERCADOS","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES","CARTUJA"
"PEDAGOGI­A","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS DE LA EDUCACION","CARTUJA"
"RELACIONES LABORALES Y RECURSOS HUMANOS","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS DEL TRABAJO","CENTRO"
"SOCIOLOGI­A","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS POLI­TICAS Y SOCIOLOGI­A","CENTRO"
"TRABAJO SOCIAL","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE TRABAJO SOCIAL","CENTRO"
"TURISMO","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES","CARTUJA"
"ARQUEOLOGI­A","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"BELLAS ARTES","ARTES Y HUMANIDADES","FACULTAD DE BELLAS ARTES","AYNADAMAR"
"CONSERVACION Y RESTAURACION DE BIENES CULTURALES","ARTES Y HUMANIDADES","FACULTAD DE BELLAS ARTES","AYNADAMAR"
"ESTUDIOS ARABES E ISLAMICOS","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"ESTUDIOS FRANCESES","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"ESTUDIOS INGLESES","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"FILOLOGI­A CLASICA","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"FILOLOGI­A HISPANICA","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"FILOSOFI­A","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"HISTORIA","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"HISTORIA DEL ARTE","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"HISTORIA Y CIENCIAS DE LA MUSICA","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"LENGUAS MODERNAS Y SUS LITERATURAS","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"LITERATURAS COMPARADAS","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"TRADUCCION E INTERPRETACION","ARTES Y HUMANIDADES","FACULTAD DE TRADUCCION E INTERPRETACION","CENTRO"
"ENFERMERI­A","CIENCIAS DE LA SALUD","FACULTAD DE CIENCIAS DE LA SALUD / FACULTAD DE CIENCIAS DE LA SALUD DE CEUTA","CENTRO"
"FARMACIA","CIENCIAS DE LA SALUD","FACULTAD DE FARMACIA","CARTUJA"
"FISIOTERAPIA","CIENCIAS DE LA SALUD","FACULTAD DE CIENCIAS DE LA SALUD","CENTRO"
"LOGOPEDIA","CIENCIAS DE LA SALUD","FACULTAD DE PSICOLOGI­A","CARTUJA"
"MEDICINA","CIENCIAS DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"NUTRICION HUMANA Y DIETETICA","CIENCIAS DE LA SALUD","FACULTAD DE FARMACIA","CARTUJA"
"ODONTOLOGI­A","CIENCIAS DE LA SALUD","FACULTAD DE ODONTOLOGI­A","CARTUJA"
"PSICOLOGI­A","CIENCIAS DE LA SALUD","FACULTAD DE PSICOLOGI­A","CARTUJA"
"TERAPIA OCUPACIONAL","CIENCIAS DE LA SALUD","FACULTAD DE CIENCIAS DE LA SALUD","CENTRO"
"ARQUITECTURA","INGENIERI­A Y ARQUITECTURA","E. T. S. DE ARQUITECTURA","AYNADAMAR"
"INGENIERI­A CIVIL","INGENIERI­A Y ARQUITECTURA","E. T. S. DE INGENIERI­A DE CAMINOS, CANALES Y PUERTOS","FUENTENUEVA"
"EDIFICACION","INGENIERI­A Y ARQUITECTURA","ESCUELA TECNICA SUPERIOR DE INGENIERI­A Y EDIFICACION","FUENTENUEVA"
"INGENIERI­A DE TECNOLOGI­AS DE TELECOMUNICACION","INGENIERI­A Y ARQUITECTURA","E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION","AYNADAMAR"
"INGENIERI­A ELECTRONICA INDUSTRIAL","INGENIERI­A Y ARQUITECTURA","FACULTAD DE CIENCIAS / E. T. S. DE CAMINOS, CANALES Y PUERTOS","FUENTENUEVA"
"INGENIERI­A INFORMATICA","INGENIERI­A Y ARQUITECTURA","E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA","AYNADAMAR"
"INGENIERI­A INFORMATICA Y MATEMATICAS (DOBLE GRADO)","INGENIERI­A Y ARQUITECTURA","E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION","AYNADAMAR"
"INGENIERI­A QUI­MICA","INGENIERI­A Y ARQUITECTURA","FACULTAD DE CIENCIAS","FUENTENUEVA"
