MASTER,HOMBRE,MUJER,TOTAL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION PUBLICA,16,17,33
MASTER UNIVERSITARIO EN DISEÑOS DE INVESTIGACION Y APLICACIONES EN PSICOLOGIA Y SALUD,4,10,14
MASTER UNIVERSITARIO EN DIVERSIDAD CULTURAL. UN ENFOQUE MULTIDISCIPLINAR Y TRANSFRONTERIZO,6,21,27
MASTER UNIVERSITARIO EN ECONOMIA Y ORGANIZACION DE EMPRESAS ,17,9,26
MASTER UNIVERSITARIO EN ECONOMIA/ECONOMICS,15,12,27
MASTER UNIVERSITARIO EN EDUCACION MUSICAL: UNA PERSPECTIVA MULTIDISCIPLINAR,10,23,33
MASTER UNIVERSITARIO EN EDUCACION SOCIAL: INVESTIGACION Y DESARROLLO PROFESIONAL,8,29,37
MASTER UNIVERSITARIO EN EDUCADOR / EDUCADORA AMBIENTAL,1,13,14
MASTER UNIVERSITARIO EN EL ANALISIS GEOGRAFICO EN LA ORDENACION DEL TERRITORIO. TECNOLOGIAS DE LA INFORMACION GEOGRAFICA,7,10,17
"MASTER UNIVERSITARIO EN ENSEÑANZA DE ELE: LENGUA, CULTURA Y METODOLOGIA",19,41,60
MASTER UNIVERSITARIO EN ESTADISTICA APLICADA,35,28,63
MASTER UNIVERSITARIO EN ESTRUCTURAS,28,7,35
"MASTER UNIVERSITARIO EN ESTUDIOS E INTERVENCION SOCIAL EN INMIGRACION, DESARROLLO Y GRUPOS VULNERABLES",6,33,39
MASTER UNIVERSITARIO EN ESTUDIOS LATINOAMERICANOS: CULTURA Y GESTION,15,23,38
MASTER UNIVERSITARIO EN ESTUDIOS LITERARIOS Y TEATRALES,10,13,23
MASTER UNIVERSITARIO EN ESTUDIOS MIGRATORIOS. DESARROLLO E INTERVENCION SOCIAL,1,0,1
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE FILOLOGIA Y TRADICION CLASICAS,6,6,12
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA,15,24,39
MASTER UNIVERSITARIO EN FILOSOFIA CONTEMPORANEA,16,3,19
MASTER UNIVERSITARIO EN FISICA Y MATEMATICAS ,25,7,32
MASTER UNIVERSITARIO EN GENETICA Y EVOLUCION,4,15,19
MASTER UNIVERSITARIO EN GEOFISICA Y METEOROLOGIA,19,10,29
MASTER UNIVERSITARIO EN GEOLOGIA,1,1,2
MASTER UNIVERSITARIO EN GEOLOGIA APLICADA A LA OBRA CIVIL Y LOS RECURSOS HIDRICOS,9,5,14
"MASTER UNIVERSITARIO EN GERONTOLOGIA, DEPENDENCIA Y PROTECCION DE LOS MAYORES",3,32,35
MASTER UNIVERSITARIO EN GESTION Y SEGURIDAD INTEGRAL EN LA EDIFICACION,36,23,59
MASTER UNIVERSITARIO EN GESTION Y TECNOLOGIAS DE PROCESOS DE NEGOCIO,24,10,34
MASTER UNIVERSITARIO EN HIDRAULICA AMBIENTAL,6,5,11
MASTER UNIVERSITARIO EN HISTORIA DEL ARTE. CONOCIMIENTO Y TUTELA DEL PATRIMONIO HISTORICO,12,27,39
"MASTER UNIVERSITARIO EN HISTORIA: DE EUROPA A AMERICA. SOCIEDADES, PODERES, CULTURAS (EURAME)",13,5,18
"MASTER UNIVERSITARIO EN INFORMACION CIENTIFICA: TRATAMIENTO, ACCESO Y EVALUACION",1,0,1
MASTER UNIVERSITARIO EN INFORMACION Y COMUNICACION CIENTIFICA,10,16,26
MASTER UNIVERSITARIO EN INGENIERIA ACUSTICA,18,3,21
MASTER UNIVERSITARIO EN INGENIERIA ACUSTICA: CONTAMINACION ACUSTICA,2,0,2
MASTER UNIVERSITARIO EN INGENIERIA DE COMPUTADORES Y REDES,22,3,25
MASTER UNIVERSITARIO EN INGENIERIA TISULAR,14,12,26
MASTER UNIVERSITARIO EN INTERPRETACION DE CONFERENCIAS,7,11,18
MASTER UNIVERSITARIO EN INTERVENCION PSICOPEDAGOGICA,6,26,32
MASTER UNIVERSITARIO EN INVESTIGACION E INNOVACION EN CURRICULUM Y FORMACION,9,22,31
MASTER UNIVERSITARIO EN INVESTIGACION EN ACTIVIDAD FISICA Y DEPORTE,37,12,49
MASTER UNIVERSITARIO EN INVESTIGACION ODONTOLOGICA,6,15,21
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,0,1,1
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN INMUNOLOGIA MOLECULAR Y CELULAR,6,10,16
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MEDICINA PREVENTIVA Y SALUD PUBLICA,7,18,25
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MICROBIOLOGIA,7,15,22
"MASTER UNIVERSITARIO EN INVESTIGACION, DESARROLLO, CONTROL E INNOVACION DE MEDICAMENTOS",10,15,25
MASTER UNIVERSITARIO EN LA MONARQUIA CATOLICA. EL SIGLO DE ORO ESPAÑOL Y LA EUROPA BARROCA,1,0,1
MASTER UNIVERSITARIO EN LINGÜISTICA Y LITERATURA INGLESAS,9,28,37
MASTER UNIVERSITARIO EN MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR,21,17,38
MASTER UNIVERSITARIO EN MATEMATICAS,15,12,27
MASTER UNIVERSITARIO EN METODOS Y TECNICAS AVANZADAS EN FISICA,1,1,2
MASTER UNIVERSITARIO EN NEUROCIENCIA COGNITIVA Y DEL COMPORTAMIENTO ,14,24,38
MASTER UNIVERSITARIO EN NEUROCIENCIA Y DOLOR,11,26,37
MASTER UNIVERSITARIO EN NUTRICION HUMANA,18,24,42
MASTER UNIVERSITARIO EN PATRIMONIO MUSICAL,28,19,47
MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES,27,33,60
MASTER UNIVERSITARIO EN PROBLEMAS SOCIALES. DIRECCION Y GESTION DE PROGRAMAS SOCIALES,11,28,39
MASTER UNIVERSITARIO EN PRODUCCION E INVESTIGACION EN ARTE,16,29,45
"MASTER UNIVERSITARIO EN PROFESORADO DE ENSEÑANZA SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACION PROFESIONAL Y ENSEÑANZA DE IDIOMAS",273,345,618
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA INTERVENCION SOCIAL,9,28,37
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA SALUD,2,0,2
MASTER UNIVERSITARIO EN QUIMICA,1,0,1
MASTER UNIVERSITARIO EN SEGURIDAD INTEGRAL EN EDIFICACION ,3,7,10
MASTER UNIVERSITARIO EN SOFT COMPUTING Y SISTEMAS INTELIGENTES,23,11,34
MASTER UNIVERSITARIO EN TECNICAS CUANTITATIVAS EN GESTION EMPRESARIAL,12,15,27
MASTER UNIVERSITARIO EN TECNICAS Y CIENCIAS DE LA CALIDAD DEL AGUA (IDEA),12,11,23
MASTER UNIVERSITARIO EN TECNOLOGIAS MULTIMEDIA,3,0,3
MASTER UNIVERSITARIO EN TRADUCCION E INTERPRETACION,4,11,15
MASTER UNIVERSITARIO EN URBANISMO,17,8,25
MASTER UNIVERSITARIO ERASMUS MUNDUS EN EXCELENCIA EN SALUD PUBLICA / EUROPUBHEALTH,2,2,4
MASTER UNIVERSITARIO ERASMUS MUNDUS EN FORMACION DE PROFESIONALES DE LA FORMACION (MUNDUSFOR),1,0,1
