MASTER,HOMBRE,MUJER
MASTER UNIVERSITARIO EN ECONOMIA Y ORGANIZACION DE EMPRESAS,18,20
MASTER UNIVERSITARIO EN ECONOMIA / ECONOMICS,12,22
MASTER UNIVERSITARIO EN EDUCACION MUSICAL: UNA PERSPECTIVA MULTIDISCIPLINAR,15,16
MASTER UNIVERSITARIO EN EDUCACION SOCIAL: INVESTIGACION Y DESARROLLO PROFESIONAL,6,30
MASTER UNIVERSITARIO EN EDUCADOR / EDUCADORA AMBIENTAL,3,11
MASTER UNIVERSITARIO EN EL ANALISIS GEOGRAFICO EN LA ORDENACION DEL TERRITORIO. TECNOLOGIAS DE LA INFORMACION GEOGRAFICA,7,11
"MASTER UNIVERSITARIO EN ENSEÑANZA DE ELE: LENGUA, CULTURA Y METODOLOGIA",10,25
MASTER UNIVERSITARIO EN ESTADISTICA APLICADA,33,27
MASTER UNIVERSITARIO EN ESTRUCTURAS,27,6
"MASTER UNIVERSITARIO EN ESTUDIOS E INTERVENCION SOCIAL EN INMIGRACION, DESARROLLO Y GRUPOS VULNERABLES",4,34
MASTER UNIVERSITARIO EN ESTUDIOS LATINOAMERICANOS: CULTURA Y GESTION,10,23
MASTER UNIVERSITARIO EN ESTUDIOS LITERARIOS Y TEATRALES,4,21
MASTER UNIVERSITARIO EN ESTUDIOS MIGRATORIOS. DESARROLLO E INTERVENCION SOCIAL,2,0
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE FILOLOGIA Y TRADICION CLASICAS,4,1
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA,21,19
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA: INVESTIGACION Y APLICACIONES,0,1
MASTER UNIVERSITARIO EN FILOSOFIA CONTEMPORANEA,15,10
MASTER UNIVERSITARIO EN FISICA Y MATEMATICAS,19,11
MASTER UNIVERSITARIO EN GENETICA Y EVOLUCION,6,15
MASTER UNIVERSITARIO EN GEOFISICA Y METEOROLOGIA,15,16
MASTER UNIVERSITARIO EN GEOLOGIA,4,3
MASTER UNIVERSITARIO EN GEOLOGIA APLICADA A LA OBRA CIVIL Y LOS RECURSOS HIDRICOS,25,8
"MASTER UNIVERSITARIO EN GERONTOLOGIA, DEPENDENCIA Y PROTECCION DE LOS MAYORES",5,33
MASTER UNIVERSITARIO EN GESTION Y SEGURIDAD INTEGRAL EN LA EDIFICACION,59,28
MASTER UNIVERSITARIO EN GESTION Y TECNOLOGIAS DE PROCESOS DE NEGOCIO,16,2
MASTER UNIVERSITARIO EN HIDRAULICA AMBIENTAL,6,5
MASTER UNIVERSITARIO EN HISTORIA DEL ARTE: CONOCIMIENTO Y TUTELA DEL PATRIMONIO HISTORICO,0,1
MASTER UNIVERSITARIO EN HISTORIA DEL ARTE. CONOCIMIENTO Y TUTELA DEL PATRIMONIO HISTORICO,14,16
MASTER UNIVERSITARIO EN INFORMACION Y COMUNICACION CIENTIFICA,12,14
MASTER UNIVERSITARIO EN INGENIERIA ACUSTICA: CONTAMINACION ACUSTICA,12,2
MASTER UNIVERSITARIO EN INGENIERIA DE COMPUTADORES Y REDES,21,5
MASTER UNIVERSITARIO EN INGENIERIA GEOLOGICA APLICADA A LA OBRA CIVIL,3,0
MASTER UNIVERSITARIO EN INGENIERIA TISULAR,17,13
MASTER UNIVERSITARIO EN INTERVENCION PSICOPEDAGOGICA,4,27
MASTER UNIVERSITARIO EN INVESTIGACION E INNOVACION EN CURRICULUM Y FORMACION,13,33
MASTER UNIVERSITARIO EN INVESTIGACION EN ACTIVIDAD FISICA Y DEPORTE,29,12
MASTER UNIVERSITARIO EN INVESTIGACION ODONTOLOGICA,10,13
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,0,1
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN INMUNOLOGIA MOLECULAR Y CELULAR,8,17
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MEDICINA PREVENTIVA Y SALUD PUBLICA,6,27
MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MICROBIOLOGIA,10,7
"MASTER UNIVERSITARIO EN INVESTIGACION, DESARROLLO, CONTROL E INNOVACION DE MEDICAMENTOS",6,23
"MASTER UNIVERSITARIO EN INVESTIGACIONES Y AVANCES EN PSICOLOGIA DE LA SALUD, EVALUACION Y TRATAMIENTO PSICOLOGICO",0,1
MASTER UNIVERSITARIO EN LA MONARQUIA CATOLICA. EL SIGLO DE ORO ESPAÑOL Y LA EUROPA BARROCA,3,0
MASTER UNIVERSITARIO EN LITERATURA Y LINGÜISTICA INGLESA,4,34
MASTER UNIVERSITARIO EN LITERATURA Y LINGÜISTICA INGLESAS,1,2
MASTER UNIVERSITARIO EN MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR,12,22
MASTER UNIVERSITARIO EN MATEMATICAS,8,8
MASTER UNIVERSITARIO EN METODOS Y TECNICAS AVANZADAS EN FISICA,8,3
MASTER UNIVERSITARIO EN NEUROCIENCIA COGNITIVA Y DEL COMPORTAMIENTO,13,19
MASTER UNIVERSITARIO EN NEUROCIENCIA Y DOLOR,15,32
MASTER UNIVERSITARIO EN NEUROCIENCIAS Y DOLOR,0,1
MASTER UNIVERSITARIO EN NUTRICION HUMANA,19,23
MASTER UNIVERSITARIO EN OPTICA Y OPTOMETRIA AVANZADAS,5,12
MASTER UNIVERSITARIO EN PATRIMONIO MUSICAL,22,18
MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES,22,31
MASTER UNIVERSITARIO EN PROBLEMAS SOCIALES: DIRECCION Y GESTION DE PROGRAMAS SOCIALES,1,0
MASTER UNIVERSITARIO EN PROBLEMAS SOCIALES. DIRECCION Y GESTION DE PROGRAMAS SOCIALES,11,25
MASTER UNIVERSITARIO EN PRODUCCION E INVESTIGACION EN ARTE,14,26
"MASTER UNIVERSITARIO EN PROFESORADO DE EDUCACION SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACION PROFESIONAL Y ENSEÑANZA DE IDIOMAS",219,239
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA INTERVENCION SOCIAL,7,29
MASTER UNIVERSITARIO EN PSICOLOGIA DE LA SALUD,4,28
MASTER UNIVERSITARIO EN QUIMICA,1,0
MASTER UNIVERSITARIO EN SEGURIDAD INTEGRAL EN EDIFICACION,10,6
MASTER UNIVERSITARIO EN SOFT COMPUTING Y SISTEMAS INTELIGENTES,23,11
MASTER UNIVERSITARIO EN TECNICAS Y CIENCIAS DE LA CALIDAD DEL AGUA (IDEA),11,13
MASTER UNIVERSITARIO EN TECNOLOGIAS MULTIMEDIA,13,3
MASTER UNIVERSITARIO EN TRADUCCION E INTERPRETACION,14,31
MASTER UNIVERSITARIO EN URBANISMO,20,12
MASTER UNIVERSITARIO ERASMUS MUNDUS EN EXCELENCIA EN SALUD PUBLICA / EUROPUBHEALTH,2,8
MASTER UNIVERSITARIO ERASMUS MUNDUS EN FORMACION DE PROFESIONALES DE LA FORMACION (MUNDUSFOR),2,12
