RAMA DE CONOCIMIENTO,POSGRADO,CENTRO,CAMPUS
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN BIOMEDICINA REGENERATIVA (M31.56.1),FACULTAD DE MEDICINA,CENTRO
CIENCIAS DE LA SALUD," MASTER UNIVERSITARIO EN CONDICIONANTES GENETICOS, NUTRICIONALES Y AMBIENTALES DEL CRECIMIENTO Y DESARROLLO (M36.56.1)",FACULTAD DE MEDICINA,CENTRO
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN CUIDADOS DE SALUD PARA LA PROMOCION DE LA AUTONOMIA DE LAS PERSONAS Y LA ATENCION A LOS PROCESOS DEL FIN DE LA VIDA (M61.56.1),FACULTAD DE CIENCIAS DE LA SALUD,CENTRO
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN DISEÑOS DE INVESTIGACION Y APLICACIONES EN PSICOLOGIA Y SALUD (M23.56.1) ,FACULTAD DE PSICOLOGIA,CARTUJA
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN INGENIERIA TISULAR (M35.56.1),FACULTAD DE MEDICINA,CENTRO
CIENCIAS DE LA SALUD,"MASTER UNIVERSITARIO EN INVESTIGACION, DESARROLLO, CONTROL E INNOVACION DE MEDICAMENTOS (M91.56.1)",FACULTAD DE FARMACIA,CARTUJA
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN INVESTIGACION ODONTOLOGICA (M39.56.1),FACULTAD DE ODONTOLOGIA,CARTUJA
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN INMUNOLOGIA MOLECULAR Y CELULAR (M26.56.1) ,FACULTAD DE MEDICINA,CENTRO
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MEDICINA PREVENTIVA Y SALUD PUBLICA (M24.56.1),FACULTAD DE MEDICINA,CENTRO
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN NEUROCIENCIA COGNITIVA Y DEL COMPORTAMIENTO (M30.56.1),FACULTAD DE PSICOLOGIA,CARTUJA
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN NEUROCIENCIA Y DOLOR (M27.56.1) ,FACULTAD DE MEDICINA,CENTRO
CIENCIAS DE LA SALUD,MASTER UNIVERSITARIO EN NUTRICION HUMANA (M28.56.1),FACULTAD DE FARMACIA,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER ERASMUS MUNDUS EN ESTUDIOS DE LAS MUJERES Y DE GENERO (M15.56.1),FACULTAD DE FILOSOFIA Y LETRAS,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN ABOGACIA (M99.56.1),FACULTAD DE DERECHO,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN ARTES VISUALES Y EDUCACION. UN ENFOQUE CONSTRUCCIONISTA (M06.56.1),FACULTAD DE BELLAS ARTES,AYNADAMAR
CIENCIAS SOCIALES Y JURIDICAS,"MASTER UNIVERSITARIO EN COOPERACION AL DESARROLLO, GESTION PUBLICA Y DE LAS ONGDS (M25.56.1)",FACULTAD DE CIENCIAS POLITICAS Y SOCIOLOGIA,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN CRIMINALIDAD E INTERVENCION SOCIAL EN MENORES (M04.56.1),FACULTAD DE CIENCIAS POLITICAS Y SOCIOLOGIA,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,"MASTER UNIVERSITARIO EN CULTURA DE PAZ, CONFLICTOS, EDUCACION Y DERECHOS HUMANOS (M75.56.1)",FACULTAD DE FILOSOFIA Y LETRAS,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN DERECHO CONSTITUCIONAL EUROPEO (M03.56.1),FACULTAD DE DERECHO,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN DERECHO DE LOS NEGOCIOS (M83.56.1),FACULTAD DE DERECHO,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN DERECHO INTERNACIONAL Y RELACIONES INTERNACIONALES (M84.56.1),FACULTAD DE DERECHO,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,"MASTER UNIVERSITARIO EN DERECHO SANITARIO, BIOETICA Y DERECHO A LA SALUD EN LA UNION EUROPEA (M85.56.1)",FACULTAD DE DERECHO,CENTRO
CIENCIAS SOCIALES Y JURIDICAS, MASTER UNIVERSITARIO EN DIDACTICA DE LA MATEMATICA (M05.56.1),FACULTAD CIENCIAS DE LA EDUCACION,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN DIRECCION Y GESTION PUBLICA (M87.56.1),FACULTAD DE CIENCIAS POLITICAS Y SOCIOLOGIA,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN DIVERSIDAD CULTURAL. UN ENFOQUE MULTIDISCIPLINAR Y TRANSFRONTERIZO (MA1.56.1),FACULTAD DE EDUCACION Y HUMANIDADES,MELILLA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN ECONOMIA Y ORGANIZACION DE EMPRESAS (M02.56.1),FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN ECONOMIA / ECONOMICS (M56.56.1),FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN EDUCACION MUSICAL: UNA PERSPECTIVA MULTIDISCIPLINAR (M72.56.1),FACULTAD DE EDUCACION Y HUMANIDADES,MELILLA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN EDUCACION SOCIAL: INVESTIGACION Y DESARROLLO PROFESIONAL (M88.56.1) ,FACULTAD CIENCIAS DE LA EDUCACION,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN EDUCADOR / EDUCADORA AMBIENTAL (M54.56.1),FACULTAD CIENCIAS DE LA EDUCACION,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN EL ANALISIS GEOGRAFICO EN LA ORDENACION DEL TERRITORIO. TECNOLOGIAS DE LA INFORMACION GEOGRAFICA (M07.56.1),FACULTAD DE FILOSOFIA Y LETRAS,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,"MASTER UNIVERSITARIO EN ESTUDIOS E INTERVENCION SOCIAL EN INMIGRACION, DESARROLLO Y GRUPOS VULNERABLES (M09.56.1)",FACULTAD DE DERECHO,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,"MASTER UNIVERSITARIO EN GERONTOLOGIA, DEPENDENCIA Y PROTECCION DE LOS MAYORES (M65.56.1)",FACULTAD DE PSICOLOGIA,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN GESTION Y TECNOLOGIAS DE PROCESOS DE NEGOCIO (M93.56.1) ,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN INFORMACION Y COMUNICACION CIENTIFICA (M12.56.1) ,FACULTAD DE COMUNICACION Y DOCUMENTACION,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN INTERVENCION PSICOPEDAGOGICA (M11.56.1) ,FACULTAD CIENCIAS DE LA EDUCACION,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN INVESTIGACION E INNOVACION EN CURRICULUM Y FORMACION (M98.56.1) ,FACULTAD CIENCIAS DE LA EDUCACION,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN INVESTIGACION EN ACTIVIDAD FISICA Y DEPORTE (M57.56.1),FACULTAD DE CIENCIAS DEL DEPORTE,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN MARKETING Y COMPORTAMIENTO DEL CONSUMIDOR (M01.56.1),FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN PROBLEMAS SOCIALES. DIRECCION Y GESTION DE PROGRAMAS SOCIALES (M08.56.1) ,FACULTAD DE CIENCIAS POLITICAS Y SOCIOLOGIA,CENTRO
CIENCIAS SOCIALES Y JURIDICAS,"MASTER UNIVERSITARIO EN PROFESORADO DE EDUCACION SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACION PROFESIONAL Y ENSEÑANZA DE IDIOMAS (S01 A S45.56.1)",FACULTAD CIENCIAS DE LA EDUCACION,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN PSICOLOGIA DE LA INTERVENCION SOCIAL (M10.56.1),FACULTAD DE PSICOLOGIA,CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,MASTER UNIVERSITARIO EN TECNICAS CUANTITATIVAS EN GESTION EMPRESARIAL (MA4.56.1),FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
CIENCIAS ,"MASTER ERASMUS MUNDUS EN EL COLOR EN LA INFORMATICA Y LA TECNOLOGIA DE LOS MEDIOS / ERASMUS MUNDUS IN COLOR IN INFORMATICS AND MEDIA TECHNOLOGY (CIMET) (M14.56.1)
",FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN BIOLOGIA AGRARIA Y ACUICULTURA (M48.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN BIOLOGIA MOLECULAR APLLICADA A EMPRESAS BIOTECNOLOGICAS (BIOENTERPRISE) (M78.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN BIOTECNOLOGIA (M38.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN CIENCIA Y TECNOLOGIA DE COLOIDES E INTERFASES (M69.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS , MASTER UNIVERSITARIO EN CIENCIA Y TECNOLOGIA EN PATRIMONIO ARQUITECTONICO (M80.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS ,"MASTER UNIVERSITARIO EN CONSERVACION, GESTION Y RESTAURACION DE LA BIODIVERSIDAD (M64.56.1)",FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN ESTADISTICA APLICADA (M42.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN FISICA Y MATEMATICAS (M53.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN GENETICA Y EVOLUCION (M58.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN GEOFISICA Y METEOROLOGIA (M40.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN GEOLOGIA APLICADA A LA OBRA CIVIL Y LOS RECURSOS HIDRICOS (M32.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MICROBIOLOGIA (M46.56.1),FACULTAD DE MEDICINA,CENTRO
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN MATEMATICAS (M37.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN OPTICA Y OPTOMETRIA AVANZADAS (M47.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
CIENCIAS EXPERIMENTALES,MASTER UNIVERSITARIO EN TECNICAS Y CIENCIAS DE LA CALIDAD DEL AGUA (IDEA) (M96.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN DESARROLLO DEL SOFTWARE (M52.56.1),E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN ESTRUCTURAS (M63.56.1),"E.T.S. DE INGENIERIAS DE CAMINOS, CANALES Y PUERTOS",FUENTENUEVA
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN GESTION Y SEGURIDAD INTEGRAL EN LA EDIFICACION (M74.56.1),E.T.S. DE INGENIERIA DE EDIFICACION,FUENTENUEVA
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN GESTION Y TECNOLOGIAS DE PROCESOS DE NEGOCIO (M93.56.1) ,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,FUENTENUEVA
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN HIDRAULICA AMBIENTAL (M62.56.1),E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,FUENTENUEVA
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN INGENIERIA ACUSTICA (MA8.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN INGENIERIA DE COMPUTADORES Y REDES (M51.56.1) ,E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN PREVENCION DE RIESGOS LABORALES (M67.56.1),FACULTAD DE PSICOLOGIA,CARTUJA
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN SOFT COMPUTING Y SISTEMAS INTELIGENTES (M49.56.1),E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
INGENIERIA Y ARQUITECTURA,MASTER UNIVERSITARIO EN URBANISMO (M97.56.1),EDIFICIO POLITECNICO,FUENTENUEVA
MASTERES BILINGÜES,MASTER UNIVERSITARIO EN FISICA Y MATEMATICAS (M53.56.1) ,FACULTAD DE CIENCIAS ,FUENTENUEVA
MASTERES BILINGÜES,MASTER UNIVERSITARIO EN HIDRAULICA AMBIENTAL (M62.56.1),E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,FUENTENUEVA
MASTERES BILINGÜES,MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN INMUNOLOGIA MOLECULAR Y CELULAR (M26.56.1) ,FACULTAD DE MEDICINA,CENTRO
MASTERES BILINGÜES,MASTER UNIVERSITARIO EN MATEMATICAS (M37.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
MASTERES BILINGÜES,MASTER UNIVERSITARIO EN NEUROCIENCIA COGNITIVA Y DEL COMPORTAMIENTO (M30.56.1) ,FACULTAD DE PSICOLOGIA,CARTUJA
MASTERES BILINGÜES,MASTER UNIVERSITARIO EN SOFT COMPUTING Y SISTEMAS INTELIGENTES (M49.56.1),E.T.S. DE INGENIERIAS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
MASTERES IMPARTIDOS EN INGLES,MASTER ERASMUS MUNDUS EN EL COLOR EN LA INFORMATICA Y LA TECNOLOGIA DE LOS MEDIOS / ERASMUS MUNDUS IN COLOR IN INFORMATICS AND MEDIA TECHNOLOGY (CIMET) (M14.56.1),FACULTAD DE CIENCIAS ,FUENTENUEVA
MASTERES IMPARTIDOS EN INGLES,MASTER UNIVERSITARIO EN ECONOMIA / ECONOMICS (M56.56.1),FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
MASTERES IMPARTIDOS EN INGLES,MASTER UNIVERSITARIO EN LITERATURA Y LINGÜISTICA INGLESAS (M19.56.1) ,FACULTAD DE FILOSOFIA Y LETRAS,CARTUJA
